Points,Fitness,Visibility,Time
12,233.837,1,4083616496
12,125.953,1,3512084946
12,125.667,1,3916727062
12,506.236,1,3951245068
12,249.257,1,3435246102
12,126.616,1,3291344258
12,249.042,1,3569488768
12,110.76,0.691416,3613775129
12,242.808,1,3562927475
12,162.56,1,3610051258
12,243.26,1,3601065894
12,279.597,1,3799674900
12,134.779,0.560744,3623613748
12,162.892,1,3583393763
12,126.105,1,3208161665
12,162.678,1,3420694434
12,195.028,1,3534212809
12,285.706,1,3577078923
12,120.606,0.575287,3741537003
12,125.724,1,3828966194
12,162.742,1,3360870658
12,162.581,1,3540426963
12,126.688,1,3249908208
12,162.255,1,3517658344
12,241.775,1,3725479295
12,309.161,1,3603328566
12,263.314,1,4001957529
12,119.578,0.688136,3785731214
12,126.331,1,3270181017
12,161.887,1,3613004357
12,119.894,0.599344,3396544223
12,162.327,1,3762900736
12,471.138,0.764133,3767064273
12,162.619,1,3520718981
12,72.8198,0.650519,3278607300
12,72.9741,0.600219,3845000316
12,126.548,1,3558835959
12,126.47,1,3315057757
12,249.032,1,3537894075
12,194.816,1,3649601684
12,285.681,1,3450978693
12,250.635,1,3512662878
12,162.312,1,3383761427
12,161.66,1,3923359365
12,126.789,1,3631862461
12,248.939,1,3456076307
12,162.674,1,3511552875
12,250.749,1,3515710760
12,126.74,1,3398602413
12,408.426,1,3860037314
12,125.187,0.692291,3421420516
12,72.5305,0.597157,3370729252
12,110.631,0.686495,3759744692
12,162.74,1,3405938274
12,454.851,1,3443500349
12,162.621,1,3576732677
12,162.009,1,3717156378
12,125.733,1,3259660585
12,314.633,1,3734589099
12,161.77,1,3558924708
12,126.754,1,3498579647
12,314.757,1,3593082850
12,250.666,1,3400674221
12,126.409,1,3284494110
12,161.941,1,3628331642
12,73.0301,0.653034,3669304379
12,162.538,1,3442626893
12,163.07,1,3423216172
12,371.593,0.810716,3694629467
12,403.634,1,4084348915
