Points,Fitness,Visibility,Time
6,105.348,1,6944388414
6,246.449,1,7666756018
6,123.962,1,6738374004
6,80.4677,0.913971,7520576592
6,80.3408,0.923789,7550926691
6,103.89,0.938978,6913706498
6,79.9813,0.935063,9372287780
6,103.778,0.957307,8468741251
6,80.3362,1,10035876302
6,105.769,1,9404492927
6,80.6195,0.945342,10018868077
6,105.665,1,9669201781
6,68.6553,0.964458,9699886231
6,123.452,1,10192865994
6,79.1539,0.918565,9800907541
6,179.661,1,10268059621
6,105.391,1,9932841222
6,105.966,0.936336,10092743663
6,105.711,1,10712164075
6,53.566,0.993951,10474788451
6,105.233,0.905606,11190773248
6,106.083,1,10150490410
6,104.983,1,10370044265
6,77.7321,1,9285359438
6,52.1306,1,9523320340
6,78.9318,0.905085,9728258935
6,106.013,0.98589,10306089849
6,77.9269,0.913001,11050005306
6,106.34,1,8945078535
6,103.612,1,10234647139
6,105.715,0.946239,10981785700
6,80.4566,0.927414,11099523287
6,77.0709,1,11050316402
6,68.6198,1,11377023869
6,53.2243,0.956676,11005557538
6,78.4863,1,10970097830
6,147.533,1,11399471456
6,106.224,0.914346,10619984975
6,122.775,1,11196395430
6,78.2932,0.987066,11045511640
6,103.811,0.908552,10825415269
6,105.907,1,10752056552
6,105.811,1,10800405125
6,103.796,1,11050266684
6,105.353,0.934978,11021052911
6,51.965,1,10811381731
6,103.939,1,10914909533
6,105.462,1,10758619612
6,105.29,1,11786277930
6,68.1241,0.938881,11772704003
6,105.019,0.906976,10505539708
6,80.3799,0.935172,11235389900
6,103.827,0.934105,10623541583
6,105.904,0.997757,7356330005
6,148.123,1,7321050066
6,77.7807,1,7385476600
6,106.209,0.955222,7195415956
6,105.832,1,7230224582
6,53.1611,1,7285148188
6,106.259,1,7064388292
6,105.877,1,7083654738
6,106.027,1,7328175366
6,105.257,0.968556,8194370628
6,201.043,1,7575102090
6,103.903,0.908043,7531546666
6,103.705,0.957391,7476196949
6,105.271,0.904212,7920691105
6,79.2915,0.905728,7666497815
6,68.4076,1,7917787979
6,105.876,1,8378350087
Points,Fitness,Visibility,Time
6,80.2642,0.910492,7018322206
6,51.7908,0.845675,6051603503
6,103.857,0.903315,5587257090
